Part/Designator,Manufacture Part Number/Seeed SKU,Quantity,Link
U1,ATMEGA328P-AU,1,ShenZhen OPL
"SW1,SW2",K2-1102SP-L4SC-04,2,ShenZhen OPL
J1,319-10-105-00-006000 ,1,https://www.mouser.fr/ProductDetail/Mill-Max/319-10-105-00-006000?qs=493kPxzlxfLQrM2Dy217Mw%3D%3D 
"R13,R12",RN731JTTD3701D50 ,2,https://www.mouser.fr/ProductDetail/KOA-Speer/RN731JTTD3701D50?qs=KOdD7VNvzR8jsX5x72luKA%3D%3D
"R11,R10,R9,R8,R7,R6,R5,R4,R3,R2,R1",RN731JTTD8760D25 ,11,https://www.mouser.fr/ProductDetail/KOA-Speer/RN731JTTD8760D25?qs=sGAEpiMZZMvdGkrng054t2d3%252B2HELaAQZMn6h74ekuk%3D
"D110,D90,D72,D56,D42,D30,D20,D12,D6,D2",VLMY1300-GS08,10,https://www.mouser.fr/ProductDetail/Vishay-Semiconductors/VLMY1300-GS08?qs=uoVnq4yU%252B9LyY5CVnohKmg%3D%3D 
"D109,D107,D105,D103,D101,D99,D97,D95,D93",VLMY1300-GS08,9,https://www.mouser.fr/ProductDetail/Vishay-Semiconductors/VLMY1300-GS08?qs=uoVnq4yU%252B9LyY5CVnohKmg%3D%3D 
"D108,D88,D70,D54,D40,D28,D18,D10,D4,D1",VLMY1300-GS08,10,https://www.mouser.fr/ProductDetail/Vishay-Semiconductors/VLMY1300-GS08?qs=uoVnq4yU%252B9LyY5CVnohKmg%3D%3D 
"D106,D86,D68,D52,D38,D26,D16,D8,D5,D3",VLMY1300-GS08,10,https://www.mouser.fr/ProductDetail/Vishay-Semiconductors/VLMY1300-GS08?qs=uoVnq4yU%252B9LyY5CVnohKmg%3D%3D 
"D104,D84,D66,D50,D36,D24,D14,D11,D9,D7",VLMY1300-GS08,10,https://www.mouser.fr/ProductDetail/Vishay-Semiconductors/VLMY1300-GS08?qs=uoVnq4yU%252B9LyY5CVnohKmg%3D%3D 
"D102,D82,D64,D48,D34,D22,D19,D17,D15,D13",VLMY1300-GS08,10,https://www.mouser.fr/ProductDetail/Vishay-Semiconductors/VLMY1300-GS08?qs=uoVnq4yU%252B9LyY5CVnohKmg%3D%3D 
"D100,D80,D62,D46,D32,D29,D27,D25,D23,D21",VLMY1300-GS08,10,https://www.mouser.fr/ProductDetail/Vishay-Semiconductors/VLMY1300-GS08?qs=uoVnq4yU%252B9LyY5CVnohKmg%3D%3D 
"D98,D78,D60,D44,D41,D39,D37,D35,D33,D31",VLMY1300-GS08,10,https://www.mouser.fr/ProductDetail/Vishay-Semiconductors/VLMY1300-GS08?qs=uoVnq4yU%252B9LyY5CVnohKmg%3D%3D 
"D96,D76,D58,D55,D53,D51,D49,D47,D45,D43",VLMY1300-GS08,10,https://www.mouser.fr/ProductDetail/Vishay-Semiconductors/VLMY1300-GS08?qs=uoVnq4yU%252B9LyY5CVnohKmg%3D%3D 
"D94,D74,D71,D69,D67,D65,D63,D61,D59,D57",VLMY1300-GS08,10,https://www.mouser.fr/ProductDetail/Vishay-Semiconductors/VLMY1300-GS08?qs=uoVnq4yU%252B9LyY5CVnohKmg%3D%3D 
"D92,D89,D87,D85,D83,D81,D79,D77,D75,D73",VLMY1300-GS08,10,https://www.mouser.fr/ProductDetail/Vishay-Semiconductors/VLMY1300-GS08?qs=uoVnq4yU%252B9LyY5CVnohKmg%3D%3D 
